service_id,date,exception_type
S1,20260523,1
S2,20260523,1
S3,20260523,1
S4,20260523,1
S5,20260523,1
S6,20260523,1
S7,20260523,1
S8,20260523,1
S1,20260524,1
S2,20260524,1
S3,20260524,1
S4,20260524,1
S5,20260524,1
S6,20260524,1
S7,20260524,1
S8,20260524,1
S1,20260525,1
S2,20260525,1
S3,20260525,1
S4,20260525,1
S5,20260525,1
S6,20260525,1
